-1.00000 -1.00000 -0.50000 -92.76830 -92.76830
-1.00000 -1.00000 -0.46774 -92.76645 -92.76645
-1.00000 -1.00000 -0.43548 -92.76459 -92.76459
-1.00000 -1.00000 -0.40323 -92.76253 -92.76253
-1.00000 -1.00000 -0.37097 -92.76025 -92.76025
-1.00000 -1.00000 -0.33871 -92.75796 -92.75796
-1.00000 -1.00000 -0.30645 -92.75548 -92.75548
-1.00000 -1.00000 -0.27419 -92.75280 -92.75280
-1.00000 -1.00000 -0.24194 -92.75012 -92.75012
-1.00000 -1.00000 -0.20968 -92.74727 -92.74727
-1.00000 -1.00000 -0.17742 -92.74424 -92.74424
-1.00000 -1.00000 -0.14516 -92.74121 -92.74121
-1.00000 -1.00000 -0.11290 -92.73803 -92.73803
-1.00000 -1.00000 -0.08065 -92.73470 -92.73470
-1.00000 -1.00000 -0.04839 -92.73137 -92.73137
-1.00000 -1.00000 -0.01613 -92.72793 -92.72793
-1.00000 -1.00000 0.01613 -92.72437 -92.72437
-1.00000 -1.00000 0.04839 -92.72081 -92.72081
-1.00000 -1.00000 0.08065 -92.71716 -92.71716
-1.00000 -1.00000 0.11290 -92.71343 -92.71343
-1.00000 -1.00000 0.14516 -92.70970 -92.70970
-1.00000 -1.00000 0.17742 -92.70591 -92.70591
-1.00000 -1.00000 0.20968 -92.70207 -92.70207
-1.00000 -1.00000 0.24194 -92.69823 -92.69823
-1.00000 -1.00000 0.27419 -92.69436 -92.69436
-1.00000 -1.00000 0.30645 -92.69047 -92.69047
-1.00000 -1.00000 0.33871 -92.68657 -92.68657
-1.00000 -1.00000 0.37097 -92.68267 -92.68267
-1.00000 -1.00000 0.40323 -92.67877 -92.67877
-1.00000 -1.00000 0.43548 -92.67487 -92.67487
-1.00000 -1.00000 0.46774 -92.67099 -92.67099
-1.00000 -1.00000 0.50000 -92.66712 -92.66712
-1.00000 -0.93548 -0.50000 -92.77733 -92.77733
-1.00000 -0.93548 -0.46774 -92.77549 -92.77549
-1.00000 -0.93548 -0.43548 -92.77366 -92.77366
-1.00000 -0.93548 -0.40323 -92.77159 -92.77159
-1.00000 -0.93548 -0.37097 -92.76929 -92.76929
-1.00000 -0.93548 -0.33871 -92.76698 -92.76698
-1.00000 -0.93548 -0.30645 -92.76446 -92.76446
-1.00000 -0.93548 -0.27419 -92.76172 -92.76172
-1.00000 -0.93548 -0.24194 -92.75898 -92.75898
-1.00000 -0.93548 -0.20968 -92.75605 -92.75605
-1.00000 -0.93548 -0.17742 -92.75292 -92.75292
-1.00000 -0.93548 -0.14516 -92.74979 -92.74979
-1.00000 -0.93548 -0.11290 -92.74651 -92.74651
-1.00000 -0.93548 -0.08065 -92.74306 -92.74306
-1.00000 -0.93548 -0.04839 -92.73961 -92.73961
-1.00000 -0.93548 -0.01613 -92.73603 -92.73603
-1.00000 -0.93548 0.01613 -92.73233 -92.73233
-1.00000 -0.93548 0.04839 -92.72863 -92.72863
-1.00000 -0.93548 0.08065 -92.72483 -92.72483
-1.00000 -0.93548 0.11290 -92.72095 -92.72095
-1.00000 -0.93548 0.14516 -92.71706 -92.71706
-1.00000 -0.93548 0.17742 -92.71312 -92.71312
-1.00000 -0.93548 0.20968 -92.70912 -92.70912
-1.00000 -0.93548 0.24194 -92.70511 -92.70511
-1.00000 -0.93548 0.27419 -92.70108 -92.70108
-1.00000 -0.93548 0.30645 -92.69702 -92.69702
-1.00000 -0.93548 0.33871 -92.69296 -92.69296
-1.00000 -0.93548 0.37097 -92.68890 -92.68890
-1.00000 -0.93548 0.40323 -92.68484 -92.68484
-1.00000 -0.93548 0.43548 -92.68077 -92.68077
-1.00000 -0.93548 0.46774 -92.67673 -92.67673
-1.00000 -0.93548 0.50000 -92.67270 -92.67270
-1.00000 -0.87097 -0.50000 -92.78601 -92.78601
-1.00000 -0.87097 -0.46774 -92.78421 -92.78421
